portName,log,lat,asOcount,asDcount,total
"Oxford, Talbot County, MD",-76.172012329,38.687618256,1,1,2
Paimbouef,-2.03481,47.288879,4,1,5
Paimpol,-3.03943,48.778278,6,6,12
Panama,-79.535393,8.952400000000003,1,0,1
"Paradise, Newfoundland and Labrador",-52.87608,47.527821,1,0,1
Paramaribo,-55.167880000000004,5.823201,1,0,1
Parnu,24.49785,58.385899,2,0,2
Pasaia,-1.92177999019623,43.326000213623,7,0,7
Patras,21.732559,38.244251,3,0,3
Penerf,-2.5927238463999998,47.534915923999996,4,1,5
"Penobscot, Maine",-68.705711,44.460449,1,0,1
"Penzance, Cornwall",-5.53492,50.119808,1,0,1
Pernambuco,-34.872009000000006,-8.05537,1,0,1
Peros,-3.9333329201,48.200000763,3,2,5
"Perth Amboy, NJ",-74.265739,40.50642,1,1,2
Petit Goave,-72.89907100000002,18.419970000000003,3,3,6
"Philadelphia, PA",-75.162452698,39.952278137,45,34,79
Piscataway,-74.473129272,40.538200378,2,0,2
Pitea,21.47574,65.319939,1,0,1
Plentzia,-2.94587,43.406639,3,1,4
Plymouth,-4.13689,50.375801,8,14,22
"Plymouth, MA",-70.658897,41.953990999999995,2,0,2
Pointe-a-Pitre,-61.530181999999996,16.23637,4,0,4
Pondicherry,79.812363,11.93471,1,0,1
Pont l'Abbe,-4.22391,47.866852,3,3,6
Pontevedra,-8.65237,42.432460999999996,1,1,2
Pontrieux,-3.1617900000000003,48.697140000000005,2,1,3
"Poole, Dorset",-1.9867400000000002,50.714481,3,6,9
Pori,21.795370000000002,61.485958,1,0,1
Porsgrunn,9.65895,59.14399,1,0,1
Port Antonio,-76.44940200000002,18.17728,1,0,1
Port Louis,57.50172,-20.156771,4,1,5
"Port Mahon, Menorca",4.05924,39.949255,1,2,3
Port Morant,-76.329269,17.891199,2,0,2
Port Royal,-76.84050000000002,17.934681,1,0,1
Port au Prince,-72.33970600000002,18.543619,29,12,41
"Port-Louis, Bretagne",-3.3563419999999997,47.708391999999996,16,8,24
"Port-Louis, Guadeloupe",-61.530103000000004,16.417904999999998,1,0,1
Portici,14.33327961,40.816581726,1,0,1
"Portland, Dorset",-2.4359599999999997,50.546890000000005,1,0,1
"Portland, Maine",-70.256653,43.659141999999996,3,0,3
"Portsmouth, Hampshire",-1.08728,50.804008,5,20,25
"Portsmouth, NH",-70.77211800000002,43.070622,7,1,8
"Portsmouth, VA",-76.29770699999999,36.832642,4,0,4
Portugalete,-3.01768,43.32193,1,0,1
Pravia,-6.1114890000000095,43.487571700000004,1,0,1
Principe,6.73394,0.33426,1,0,1
"Providence, RI",-71.411987,41.823871999999994,5,4,9
"Provincetown, MA",-70.188698,42.049339,1,0,1
Puerto Barrios,-88.44567099999999,15.614239999999999,1,0,1
Puerto Rico,-66.581348,18.2016,3,1,4
Quayaquil,-79.92836800000002,-2.15955,1,0,1
Quebec,-71.219353,46.812749,4,6,10
"Queenborough, Kent",0.75384,51.414799,1,0,1
Quimper,-4.10794,47.99474,7,8,15
"Ramsgate, Kent",1.40961,51.343819,1,0,1
Redon,-2.08593,47.65102,5,11,16
Rennes,-1.68448,48.107609000000004,1,0,1
Reunion Island,55.532059999999994,-21.11453,3,2,5
Revilla,-3.8641199999999998,43.406719,1,1,2
Rhone,4.82899,45.759418,1,1,2
Ribadeo,-7.0404100000000005,43.533642,4,1,5
Ribadesella,-5.06044,43.460949,1,0,1
"Richmond, VA",-77.43364699999998,37.540699,1,0,1
Riga,24.114901,56.945999,93,12,105
"Rio Bueno, Jamaica",-77.47199999999998,18.479,1,0,1
Rio de Janiero,-43.194752,-22.976669,3,0,3
Risor,9.212710000000001,58.717757999999996,2,0,2
"Robin Hood's Bay, Yorkshire",-0.535589993,54.435901642,1,0,1
Rochefort,-0.95868998766,45.934841156000005,19,22,41
Rohan,-2.7508939999999997,48.06981,7,11,18
Rome,12.49576,41.90311,1,0,1
Roscoff,-3.9826699999999997,48.72551,13,4,17
Ross,-4.105765,54.779751,1,1,2
Rostock,12.13216,54.07906,7,0,7
Rotterdam,4.47849,51.922871,102,90,192
Rouen,1.08941,49.44014,24,35,59
Royan,-1.0301200000000001,45.626129,1,3,4
Rush,-6.09478,53.522388,2,0,2
"Rye, Sussex",0.7361300000000001,50.95293,2,1,3
Sable D'Olonne,-1.78204,46.497898,19,5,24
Saint Ann,-77.200684,18.436020000000003,1,0,1
"Saint Croix, St. Croix, U.S. Virgin Islands",-64.829231,17.706920999999998,1,2,3
Saint-Briac-sur-Mer,-2.1368200779,48.624481201,1,0,1
"Saint-Brieuc, Bretagne",-2.7638599999999998,48.51572,3,3,6
Saint-Cast-de-Guildo,-2.256679,48.631675,1,0,1
Saint-Georges-des-Coteaux,-0.7107100000000001,45.76392,1,0,1
Saint-Gildas-de-Rhuys,-2.8429400920999996,47.513889313,1,0,1
Saint-Gilles-Croix-de-Vie,-1.93337,46.696369,7,2,9
Saint-Goustan,-2.3050398827,47.425868988000005,1,0,1
Saint-Jean-de-Luz,-1.66088,43.387718,6,0,6
Saint-Louis,-16.489349,16.018499,1,0,1
Saint-Louis-du-Nord,-72.828568,19.937969,2,1,3
Saint-Malo,-2.0232799999999997,48.650490000000005,62,92,154
Saint-Marc,-72.69338999999998,19.097561,6,1,7
Saint-Martin-de-Re,-1.3583399999999999,46.198952,61,17,78
Saint-Pierre,-61.15325,14.749015,21,4,25
Saint-Pierre-et-Miquelon,-56.3159,46.8852,3,14,17
Saint-Pol-de-Leon,-3.9868,48.68473,2,0,2
Saint-Servan-sur-Mer,-2.0175400000000003,48.638859000000004,1,0,1
Saint-Tropez,6.638910000000001,43.272529999999996,2,0,2
Saint-Vaast-la-Hougue,-1.26831,49.587189,2,3,5
Saint-Valery-en-Caux,0.71176,49.868809000000006,1,1,2
Saint-Valery-sur-Somme,1.63171,50.18808,2,15,17
"Sainte-Marie, Martinique",-60.993288899999996,14.7794318,1,0,1
"Salas, Spain",-6.260619,43.408875,1,0,1
"Salem, MA",-70.895813,42.5224,10,3,13
Salou,1.13695,41.07497,5,0,5
San Cibrao,-7.8723600000000005,42.297211,1,0,1
"San Martín del Mar, Asturias",-5.4061494,43.516990500000006,1,1,2
"San Salvador, Tarragona",1.2412290000000001,41.157078000000006,1,0,1
San Sebastian,-1.9794,43.317378999999995,35,48,83
Sandnes,5.73511,58.848529000000006,2,1,3
Sanremo,7.775189999999999,43.815490999999994,1,0,1
Santa Cruz de Tenerife,-16.2645,28.460369,4,8,12
Santander,-3.8100099999999997,43.461498,28,19,47
Santiago de Cuba,-75.80809021,20.025829315,2,0,2
"Santono, Spain",-3.4542639999999603,43.444511,2,1,3
Sao Miguel,-25.4970465999999,37.780411,2,1,3
Savanna-la-mar,-78.128029,18.224091,1,0,1
"Savannah, Georgia",-81.09118599999998,32.080909999999996,8,1,9
Scheveningen,4.27724,52.10672,1,0,1
Schiedam,4.39818,51.918449,1,6,7
Semarang,110.41666670000001,-6.9666667,1,0,1
Senegal,-14.445556,14.49945,6,2,8
Serampore,88.346024,22.745029000000002,2,0,2
Sete,3.6961699999999995,43.39901,15,1,16
Setubal,-8.887939999999999,38.522942,15,3,18
"Seudre, Charente-Maritime",-1.0830032825,45.76007843,2,0,2
Sevilla,-6.0019599999999995,37.387909,14,8,22
Sicily,14.370535,38.192705,1,0,1
Sierra Leone,-11.79593,8.464555,1,3,4
Sint Eustatius,-62.973555000000005,17.4890306,19,17,36
Sint Maarten,-63.057323456000006,18.04404068,1,0,1
South Carolina,-81.1637245,33.836081,1,1,2
South Shields,-1.43052,54.99646,15,3,18
Southampton,-1.40733,50.90992,4,5,9
Spain,-6.916453999999999,35.712709999999994,1,8,9
"Spithead, Dartmouth",-3.5776059,50.351248600000005,1,0,1
"Squam, Nantucket, MA",-69.988747,41.314780999999996,1,0,1
"St Croix, Virgin Islands",-64.735946655,17.733783722000002,9,3,12
"St John's, Newfoundland",-52.712219,47.560741,8,7,15
St Kitts and Nevis,-62.70641,17.257726,5,3,8
St Petersburg,30.30603,59.933181999999995,38,5,43
"St Thomas, Virgin Islands",-64.930397,18.34897,15,17,32
St Vincent,-61.196316,13.24814,1,2,3
Stade,9.4784,53.601971,3,3,6
Stavanger,5.730659999999999,58.971031,5,0,5
Stockholm,18.062941,59.332298,79,33,112
Stralsund,13.09164,54.315762,4,0,4
"Suffolk, VA",-70.99986199999998,42.33892,1,0,1
"Sukarrieta, Bizkaia",-2.6972899437,43.394031525,1,0,1
Sunderland,-1.38635,54.90227900000001,25,4,29
"Surabaya, Java",112.74668899999999,-7.25857,1,0,1
Suriname,-56.032024,3.91784,28,9,37
Sutar,-1.499746,43.458548,3,0,3
"Swanage, Dorset",-1.96405,50.612010999999995,1,0,1
Swansea,-3.9409300000000003,51.62315,1,2,3
Sweden,17.56622,62.198448,1,1,2
Swinoujscie,14.26914,53.902351,1,0,1
Szczecin,14.555489999999999,53.425208999999995,5,11,16
"Talbot County, Maryland",-76.13580300000001,38.761755,1,0,1
Tarragona,1.2541,41.116928,2,2,4
Teignmouth,-3.50005,50.54834,3,1,4
Tenby,-4.71207,51.676811,1,0,1
Tenerife,-16.522660000000002,28.293275,6,12,18
Texel,4.8082650000000005,53.08331999999999,7,1,8
"Tharangambadi, Tamil Nadu",79.85021999999998,11.02715,1,7,8
Toenning,8.9375,54.314336,5,3,8
"Toms River, NJ",-74.197479,39.9533,1,0,1
Tonder,8.86896991729736,54.936439514160206,1,0,1
Tonsberg,10.40785,59.265769999999996,1,0,1
Torrevieja,-0.6806,37.975731,3,0,3
Tortola,-64.63549,18.426814999999998,5,0,5
Toul an Hery,-3.638271,48.6696359,1,1,2
Toulon,5.93029,43.12534,3,8,11
Trapani,14.370535,38.192705,2,0,2
Trebeurden,-3.5779300000000003,48.77182,1,0,1
Treguier,-3.23128,48.785641,4,8,12
Treverec,-3.0576100349,48.656150818,1,0,1
Trieste,13.76724,45.650768,6,0,6
Trincomalee,81.22466999999999,8.57817,1,0,1
Trinidad,-61.209416000000004,10.698830000000001,1,1,2
"Trinity, Newfoundland and Labrador",-53.359692,48.369099,1,0,1
Tripoli,13.192370415,32.872238159,2,1,3
Trondheim,10.39213,63.43101899999999,6,1,7
Trou-du-Nord,-72.019402,19.613411,1,0,1
Tunis,10.159130000000001,36.814861,1,2,3
Turks and Caicos,-71.797928,21.694025,1,0,1
Turku,22.251551,60.45278199999999,1,0,1
Udbyhoj,10.31214,56.59758000000001,26,4,30
Uddevalla,11.93264,58.35099,17,1,18
Uusikaarlepyy,22.531269,63.522597999999995,2,0,2
Vaasa,21.62624,63.098381,2,0,2
Valencia,-0.37686,39.468990000000005,11,4,15
Valparaiso,-71.620377,-33.045311,1,0,1
Vandellos,0.8316193000000571,41.0194958,1,0,1
"Vannes, Bretagne",-2.7598500252,47.658340454,8,11,19
Varberg,12.24905,57.107891,1,0,1
Vastervik,16.64024,57.757709999999996,4,0,4
Vecchiano,10.3818798065186,43.782299041748,1,0,1
"Vegesack, Bremen",8.6275596619,53.170978546,1,0,1
Ventspils,21.59591,57.40941,1,0,1
Veracruz,-96.140602,19.19541,4,12,16
Viana do Castelo,-8.829129999999997,41.695648,2,7,9
Vigo,-8.73334,42.221321,11,2,13
"Vila Nova, Terceira",-27.14535,38.780975,1,0,1
Vilanova i la Geltru,1.7269,41.22113,3,0,3
Virginia,-79.458504,38.003352,4,16,20
Viviers,4.69105300000001,44.480269,1,0,1
Vlaardingen,4.33822,51.911190000000005,3,0,3
Vlissingen,3.57286,51.44257,9,6,15
"Vyborg, Leningrad Oblast",28.747560999999997,60.712101000000004,3,1,4
"Washington, NC",-77.060478,35.545319,1,0,1
Waterford,-7.110869999999999,52.262001,6,4,10
West Indies,-78.764679,21.84054,2,2,4
